number_of_vehicles,speed_limit,hour,month,day_of_week,first_road_class,road_type,junction_detail,junction_control,second_road_class,pedestrian_crossing,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards,urban_or_rural_area,trunk_road_flag,cluster
2,30,13,3,Monday,A,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,40,20,9,Saturday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - lights lit,Fine no high winds,Dry,0,0,Rural,2,0
2,30,18,2,Monday,Motorway,Slip road,Other junction,Give way or uncontrolled,6,0,Darkness - lights lit,Fine no high winds,Dry,0,0,Urban,-1,1
2,60,13,7,Saturday,Unclassified,Single carriageway,Junction with more than four arms,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,0
2,30,15,10,Tuesday,A,Single carriageway,Other junction,Give way or uncontrolled,6,14,Daylight,Fine no high winds,Dry,0,0,Rural,2,1
2,40,16,9,Wednesday,A,Single carriageway,Junction with more than four arms,Automatic traffic signal,3,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,1
1,30,14,10,Tuesday,C,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine + high winds,Wet or damp,0,0,Urban,2,1
2,60,15,8,Friday,A,Single carriageway,Other junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,0
1,30,8,10,Thursday,Unclassified,Single carriageway,Other junction,Unknown,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
1,30,8,5,Friday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,0,10,Friday,B,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - lights lit,Fine no high winds,Wet or damp,0,0,Urban,2,1
2,50,11,7,Wednesday,Motorway,Dual carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,4,13,Rural,1,0
1,70,7,1,Monday,A,Dual carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - no lighting,Fine no high winds,Frost or ice,0,0,Rural,1,0
1,30,11,5,Monday,A,One way street,Other junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Rural,-1,1
2,20,13,8,Thursday,B,Single carriageway,Junction with more than four arms,Automatic traffic signal,6,15,Daylight,Fine no high winds,Wet or damp,0,17,Urban,2,1
2,30,21,3,Sunday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Darkness - lights lit,Fine no high winds,Dry,0,0,Urban,2,1
2,30,8,12,Friday,B,Slip road,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Unknown,Dry,0,0,Urban,2,1
2,20,17,6,Wednesday,C,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,40,15,3,Monday,A,Dual carriageway,Crossroads,Automatic traffic signal,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
1,30,23,11,Friday,Unclassified,Roundabout,Not at or within 20 metres of junction,Give way or uncontrolled,6,0,Darkness - lights lit,Fine no high winds,Dry,0,0,Rural,2,1
2,50,19,3,Saturday,A,Dual carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - lights lit,Fine no high winds,Dry,0,0,Rural,2,0
3,30,13,7,Thursday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,17,Daylight,Fine no high winds,Dry,0,0,Rural,2,1
1,30,15,12,Tuesday,A,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Darkness - lights lit,Fine no high winds,Wet or damp,0,0,Urban,2,1
2,70,17,3,Monday,A,Dual carriageway,Not at or within 20 metres of junction,Give way or uncontrolled,3,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,0
2,30,11,6,Saturday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
1,30,15,7,Friday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,12,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,17,5,Saturday,Unclassified,Roundabout,Not at or within 20 metres of junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Wet or damp,0,0,Urban,2,1
2,30,16,4,Monday,B,Roundabout,Not at or within 20 metres of junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,1
1,70,10,3,Friday,Motorway,Dual carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Rural,1,0
1,30,8,12,Tuesday,A,Single carriageway,Crossroads,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,-1,1
2,60,22,11,Wednesday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - lights unlit,Fine no high winds,Wet or damp,0,0,Rural,2,0
2,70,20,2,Friday,A,Dual carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - lights lit,Fine no high winds,Wet or damp,0,18,Rural,1,0
2,30,16,6,Wednesday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Wet or damp,0,0,Urban,2,1
2,40,3,3,Sunday,A,Dual carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - lights lit,Fine no high winds,Dry,0,0,Urban,2,1
2,30,7,10,Friday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,20,11,7,Sunday,Unclassified,One way street,Not at or within 20 metres of junction,Data missing / out of range,0,15,Daylight,Fine no high winds,Dry,3,12,Urban,2,1
3,30,17,7,Tuesday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,1
2,20,9,11,Thursday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,22,10,Wednesday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
1,60,8,7,Monday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,1,11,Rural,2,0
2,40,8,7,Monday,A,Slip road,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,0
1,30,18,5,Tuesday,C,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,50,12,4,Saturday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,0
1,30,11,4,Saturday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,16,3,Thursday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
1,20,16,9,Wednesday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,18,5,Friday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Give way or uncontrolled,6,0,Daylight,Raining no high winds,Wet or damp,0,0,Urban,2,1
1,30,17,5,Tuesday,B,Single carriageway,Other junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,20,Urban,2,1
2,30,19,8,Monday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
1,60,8,2,Monday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - no lighting,Snowing no high winds,Frost or ice,0,0,Rural,2,0
2,20,17,4,Wednesday,Unclassified,One way street,Crossroads,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,7,7,Thursday,C,Dual carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,15,2,Friday,A,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,19,3,Wednesday,C,Roundabout,Not at or within 20 metres of junction,Give way or uncontrolled,3,99,Darkness - lighting unknown,Unknown,Unknown,9,99,Urban,2,1
1,60,16,7,Friday,B,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Wet or damp,0,0,Rural,-1,0
2,30,7,9,Tuesday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,11,2,Sunday,Unclassified,Single carriageway,Crossroads,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,1,5,Thursday,B,Single carriageway,Crossroads,Give way or uncontrolled,6,0,Darkness - lights lit,Fine no high winds,Wet or damp,0,0,Urban,2,1
2,30,18,1,Friday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - lights lit,Fine no high winds,Wet or damp,0,0,Urban,2,1
2,30,14,11,Sunday,Unclassified,Single carriageway,Other junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,13,4,Sunday,C,Single carriageway,Not at or within 20 metres of junction,Give way or uncontrolled,3,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
1,30,3,12,Thursday,A,Dual carriageway,Other junction,Give way or uncontrolled,6,0,Darkness - lights lit,Fine no high winds,Dry,0,0,Urban,2,1
2,60,13,10,Monday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,0
3,30,16,4,Wednesday,A,Single carriageway,Not at or within 20 metres of junction,Give way or uncontrolled,3,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,20,19,12,Wednesday,Unclassified,Single carriageway,Other junction,Give way or uncontrolled,6,0,Darkness - lights lit,Fine no high winds,Dry,0,0,Urban,2,1
2,30,6,7,Friday,A,Roundabout,Not at or within 20 metres of junction,Give way or uncontrolled,3,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,20,17,11,Monday,A,One way street,Crossroads,Automatic traffic signal,3,0,Darkness - lights lit,Other,Dry,0,0,Urban,2,1
2,30,11,7,Wednesday,Unclassified,Single carriageway,T or staggered junction,Automatic traffic signal,4,15,Daylight,Fine no high winds,Data missing / out of range,0,0,Urban,2,1
2,30,20,8,Monday,A,Single carriageway,Other junction,Automatic traffic signal,6,15,Darkness - lights lit,Raining no high winds,Wet or damp,4,13,Urban,2,1
2,30,16,2,Sunday,Unclassified,Single carriageway,Other junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,12,3,Saturday,Unclassified,Single carriageway,Crossroads,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,50,14,7,Friday,A,Dual carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,0
4,70,17,9,Thursday,Motorway,Dual carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Urban,1,0
2,50,19,12,Tuesday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - no lighting,Fine no high winds,Wet or damp,0,0,Urban,-1,0
2,70,8,2,Thursday,Motorway,Dual carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Wet or damp,0,0,Urban,1,0
2,20,14,4,Tuesday,A,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
1,60,21,11,Monday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Darkness - no lighting,Fine no high winds,Wet or damp,0,0,Rural,2,0
1,70,16,4,Sunday,Motorway,Dual carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Rural,1,0
2,50,10,7,Friday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,0
1,30,22,1,Sunday,C,Single carriageway,T or staggered junction,Give way or uncontrolled,5,17,Darkness - lights lit,Other,Wet or damp,0,0,Urban,2,1
2,20,18,4,Thursday,B,Single carriageway,T or staggered junction,Stop sign,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
1,30,10,6,Thursday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,40,10,11,Sunday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,-1,Daylight,Other,Data missing / out of range,-1,-1,Rural,2,0
2,30,22,7,Thursday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - lights lit,Fine no high winds,Dry,0,0,Urban,2,1
2,30,11,12,Friday,B,Dual carriageway,Using private drive or entrance,Give way or uncontrolled,6,13,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,60,20,2,Thursday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - no lighting,Fine no high winds,Dry,0,0,Rural,2,0
2,40,18,7,Tuesday,A,Dual carriageway,Not at or within 20 metres of junction,Authorised person,3,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,0
2,20,20,6,Thursday,A,Dual carriageway,T or staggered junction,Automatic traffic signal,6,15,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,2,12,Sunday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - lights lit,Fog or mist,Wet or damp,0,0,Urban,2,1
4,30,10,5,Tuesday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,20,19,7,Tuesday,Unclassified,Single carriageway,Other junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,17,8,Monday,B,Single carriageway,T or staggered junction,Stop sign,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
1,20,15,11,Tuesday,B,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
1,30,21,1,Thursday,B,Single carriageway,Other junction,Give way or uncontrolled,6,17,Darkness - lights lit,Other,Wet or damp,0,0,Urban,2,1
1,60,15,10,Sunday,B,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Raining no high winds,Wet or damp,6,14,Rural,-1,0
2,40,13,5,Tuesday,A,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,1
1,30,17,5,Wednesday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,13,Daylight,Raining no high winds,Wet or damp,0,0,Urban,2,1
3,30,14,8,Sunday,B,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,16,11,Sunday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - lights lit,Fine no high winds,Dry,0,0,Urban,2,1
2,40,5,9,Saturday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - no lighting,Raining no high winds,Wet or damp,0,0,Rural,2,0
2,30,16,9,Tuesday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Raining no high winds,Wet or damp,0,0,Urban,2,1
2,30,16,3,Monday,A,Dual carriageway,Using private drive or entrance,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,6,8,Wednesday,A,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
5,20,10,3,Wednesday,A,Single carriageway,Crossroads,Automatic traffic signal,3,14,Daylight,Raining no high winds,Wet or damp,0,0,Urban,2,1
2,30,8,4,Sunday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Rural,-1,1
1,20,18,8,Monday,B,Single carriageway,T or staggered junction,Give way or uncontrolled,6,15,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,40,9,1,Wednesday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Give way or uncontrolled,3,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,20,17,10,Tuesday,A,Single carriageway,T or staggered junction,Give way or uncontrolled,6,14,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,0,9,Sunday,B,Single carriageway,Crossroads,Automatic traffic signal,4,15,Darkness - lights lit,Fine no high winds,Dry,0,0,Urban,2,1
2,30,23,10,Saturday,A,Roundabout,Not at or within 20 metres of junction,Give way or uncontrolled,6,0,Darkness - lights lit,Fine no high winds,Dry,0,0,Urban,2,1
2,30,19,9,Sunday,B,Roundabout,Not at or within 20 metres of junction,Automatic traffic signal,1,16,Darkness - lights lit,Fine no high winds,Dry,0,0,Urban,2,1
3,40,16,12,Thursday,B,Single carriageway,T or staggered junction,Automatic traffic signal,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
1,60,14,9,Monday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Rural,-1,0
2,30,17,7,Thursday,A,Slip road,T or staggered junction,Give way or uncontrolled,6,15,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,15,12,Wednesday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,13,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
1,40,23,6,Wednesday,A,Roundabout,Not at or within 20 metres of junction,Give way or uncontrolled,3,0,Darkness - lights lit,Fine no high winds,Dry,0,0,Rural,2,1
